Audience Personality,Profiling Method,Ad Type,Ad Design,Ad Choice,UserID,Engaged
Extrovert,Website,Introvert,Design 2,Introvert,1420,1
Extrovert,Website,Introvert,Design 2,Introvert,1421,1
Extrovert,Website,Introvert,Design 2,Introvert,1422,1
Extrovert,Website,Introvert,Design 2,Introvert,1423,1
Extrovert,Website,Introvert,Design 2,Introvert,1424,1
Extrovert,Website,Introvert,Design 2,Introvert,1425,1
Extrovert,Website,Introvert,Design 2,Introvert,1426,1
Extrovert,Website,Introvert,Design 2,Introvert,1427,1
Extrovert,Website,Introvert,Design 2,Introvert,1428,1
Extrovert,Website,Introvert,Design 2,Introvert,1429,1
Extrovert,Website,Introvert,Design 2,Introvert,1430,1
Extrovert,Website,Introvert,Design 2,Introvert,1431,0
Extrovert,Website,Introvert,Design 2,Introvert,1432,0
Extrovert,Website,Introvert,Design 2,Introvert,1433,0
Extrovert,Website,Introvert,Design 2,Introvert,1434,0
Extrovert,Website,Introvert,Design 2,Introvert,1435,0
Extrovert,Website,Introvert,Design 2,Introvert,1436,0
Extrovert,Website,Introvert,Design 2,Introvert,1437,0
Extrovert,Website,Introvert,Design 2,Introvert,1438,0
Extrovert,Website,Introvert,Design 2,Introvert,1439,0
Extrovert,Website,Introvert,Design 2,Introvert,1440,0
Extrovert,Website,Introvert,Design 2,Introvert,1441,0
Extrovert,Website,Introvert,Design 2,Introvert,1442,0
Extrovert,Website,Introvert,Design 2,Introvert,1443,0
Extrovert,Website,Introvert,Design 2,Introvert,1444,0
Extrovert,Website,Introvert,Design 2,Introvert,1445,0
Extrovert,Website,Introvert,Design 2,Introvert,1446,0
Extrovert,Website,Introvert,Design 2,Introvert,1447,0
Extrovert,Website,Introvert,Design 2,Introvert,1448,0
Extrovert,Website,Introvert,Design 2,Introvert,1449,0
Extrovert,Website,Introvert,Design 2,Introvert,1450,0
Extrovert,Website,Introvert,Design 2,Introvert,1451,0
Extrovert,Website,Introvert,Design 2,Introvert,1452,0
Extrovert,Website,Introvert,Design 2,Introvert,1453,0
Extrovert,Website,Introvert,Design 2,Introvert,1454,0
Extrovert,Website,Introvert,Design 2,Introvert,1455,0
Extrovert,Website,Introvert,Design 2,Introvert,1456,0
Extrovert,Website,Introvert,Design 2,Introvert,1457,0
Extrovert,Website,Introvert,Design 2,Introvert,1458,0
Extrovert,Website,Introvert,Design 2,Introvert,1459,0
Extrovert,Website,Introvert,Design 2,Introvert,1460,0
Extrovert,Website,Introvert,Design 2,Introvert,1461,0
Extrovert,Website,Introvert,Design 2,Introvert,1462,0
Extrovert,Website,Introvert,Design 2,Introvert,1463,0
Extrovert,Website,Introvert,Design 2,Introvert,1464,0
Extrovert,Website,Introvert,Design 2,Introvert,1465,0
Extrovert,Website,Introvert,Design 2,Introvert,1466,0
Extrovert,Website,Introvert,Design 2,Introvert,1467,0
Extrovert,Website,Introvert,Design 2,Introvert,1468,0
Extrovert,Website,Introvert,Design 2,Introvert,1469,0
Extrovert,Website,Introvert,Design 2,Introvert,1470,0
Extrovert,Website,Introvert,Design 2,Introvert,1471,0
Extrovert,Website,Introvert,Design 2,Introvert,1472,0
Extrovert,Website,Introvert,Design 2,Introvert,1473,0
Extrovert,Website,Introvert,Design 2,Introvert,1474,0
Extrovert,Website,Introvert,Design 2,Introvert,1475,0
Extrovert,Website,Introvert,Design 2,Introvert,1476,0
Extrovert,Website,Introvert,Design 2,Introvert,1477,0
Extrovert,Website,Introvert,Design 2,Introvert,1478,0
Extrovert,Website,Introvert,Design 2,Introvert,1479,0
Extrovert,Website,Introvert,Design 2,Introvert,1480,0
Extrovert,Website,Introvert,Design 2,Introvert,1481,0
Extrovert,Website,Introvert,Design 2,Introvert,1482,0
Extrovert,Website,Introvert,Design 2,Introvert,1483,0
Extrovert,Website,Introvert,Design 2,Introvert,1484,0
Extrovert,Website,Introvert,Design 2,Introvert,1485,0
Extrovert,Website,Introvert,Design 2,Introvert,1486,0
Extrovert,Website,Introvert,Design 2,Introvert,1487,0
Extrovert,Website,Introvert,Design 2,Introvert,1488,0
Extrovert,Website,Introvert,Design 2,Introvert,1489,0
Extrovert,Website,Introvert,Design 2,Introvert,1490,0
Extrovert,Website,Introvert,Design 2,Introvert,1491,0
Extrovert,Website,Introvert,Design 2,Introvert,1492,0
Extrovert,Website,Introvert,Design 2,Introvert,1493,0
Extrovert,Website,Introvert,Design 2,Introvert,1494,0
Extrovert,Website,Introvert,Design 2,Introvert,1495,0
Extrovert,Website,Introvert,Design 2,Introvert,1496,0
Extrovert,Website,Introvert,Design 2,Introvert,1497,0
Extrovert,Website,Introvert,Design 2,Introvert,1498,0
Extrovert,Website,Introvert,Design 2,Introvert,1499,0
Extrovert,Website,Introvert,Design 2,Introvert,1500,0
Extrovert,Website,Introvert,Design 2,Introvert,1501,0
Extrovert,Website,Introvert,Design 2,Introvert,1502,0
Extrovert,Website,Introvert,Design 2,Introvert,1503,0
Extrovert,Website,Introvert,Design 2,Introvert,1504,0
Extrovert,Website,Introvert,Design 2,Introvert,1505,0
Extrovert,Website,Introvert,Design 2,Introvert,1506,0
Extrovert,Website,Introvert,Design 2,Introvert,1507,0
Extrovert,Website,Introvert,Design 2,Introvert,1508,0
Extrovert,Website,Introvert,Design 2,Introvert,1509,0
Extrovert,Website,Introvert,Design 2,Introvert,1510,0
Extrovert,Website,Introvert,Design 2,Introvert,1511,0
Extrovert,Website,Introvert,Design 2,Introvert,1512,0
Extrovert,Website,Introvert,Design 2,Introvert,1513,0
Extrovert,Website,Introvert,Design 2,Introvert,1514,0
Extrovert,Website,Introvert,Design 2,Introvert,1515,0
Extrovert,Website,Introvert,Design 2,Introvert,1516,0
Extrovert,Website,Introvert,Design 2,Introvert,1517,0
Extrovert,Website,Introvert,Design 2,Introvert,1518,0
